,trip_id,route_id,stop_id,vehicle_id,time_of_day,service_date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time,shape_id
103,CA_A6-Weekday-SDon-077500_MISC_425,S52,200758.0,8219.0,2016-01-04 18:10:00,20160104.0,5981.14,25.0,1554.5188371,1538.307419,S520109
104,CA_A6-Weekday-SDon-077500_MISC_425,S52,200758.0,8219.0,2016-01-04 18:15:00,20160104.0,7217.49190476,20.0,1298.19080892,1238.307419,S520109
105,CA_A6-Weekday-SDon-077500_MISC_425,S52,200758.0,8219.0,2016-01-04 18:20:00,20160104.0,8825.4216129,15.0,929.274408186,938.307419,S520109
106,CA_A6-Weekday-SDon-077500_MISC_425,S52,200758.0,8219.0,2016-01-04 18:25:00,20160104.0,9865.94625,11.0,629.828215563,638.307419,S520109
107,CA_A6-Weekday-SDon-077500_MISC_425,S52,200758.0,8219.0,2016-01-04 18:30:00,20160104.0,10731.0966667,8.0,369.562873894,338.307419,S520109
108,CA_A6-Weekday-SDon-077500_MISC_425,S52,201062.0,8219.0,2016-01-04 18:00:00,20160104.0,2494.09548387,28.0,1227.45820011,1226.701463,S520109
109,CA_A6-Weekday-SDon-077500_MISC_425,S52,201062.0,8219.0,2016-01-04 18:05:00,20160104.0,4345.50587302,20.0,976.285899294,926.701463,S520109
110,CA_A6-Weekday-SDon-077500_MISC_425,S52,201062.0,8219.0,2016-01-04 18:10:00,20160104.0,5981.14,11.0,649.214262172,626.701463,S520109
111,CA_A6-Weekday-SDon-077500_MISC_425,S52,201062.0,8219.0,2016-01-04 18:15:00,20160104.0,7217.49190476,6.0,392.886233997,326.701463,S520109
112,CA_A6-Weekday-SDon-077500_MISC_425,S52,201062.0,8219.0,2016-01-04 18:20:00,20160104.0,8825.4216129,1.0,23.9698332623,26.701463,S520109
113,CA_A6-Weekday-SDon-077500_MISC_425,S52,203428.0,8219.0,2016-01-04 18:00:00,20160104.0,2494.09548387,1.0,22.1073885827,79.357452,S520109
114,CA_A6-Weekday-SDon-077500_S53_308,S53,203034.0,7066.0,2016-01-04 18:00:00,20160104.0,985.025,7.0,441.040768162,425.388455,S530118
115,CA_A6-Weekday-SDon-077500_S53_308,S53,203034.0,7066.0,2016-01-04 18:05:00,20160104.0,2160.88096774,2.0,113.124525528,125.388455,S530118
116,CA_A6-Weekday-SDon-077500_S53_308,S53,203052.0,7066.0,2016-01-04 18:00:00,20160104.0,985.025,20.0,1140.93591594,1084.691082,S530118
117,CA_A6-Weekday-SDon-077500_S53_308,S53,203052.0,7066.0,2016-01-04 18:05:00,20160104.0,2160.88096774,15.0,813.019673305,784.691082,S530118
118,CA_A6-Weekday-SDon-077500_S53_308,S53,203052.0,7066.0,2016-01-04 18:10:00,20160104.0,3199.99014925,10.0,483.62550378,484.691082,S530118
119,CA_A6-Weekday-SDon-077500_S53_308,S53,203052.0,7066.0,2016-01-04 18:15:00,20160104.0,4647.37,4.0,176.947481564,184.691082,S530118
120,CA_A6-Weekday-SDon-077500_S53_308,S53,203456.0,7066.0,2016-01-04 18:00:00,20160104.0,985.025,13.0,759.938998199,726.4356,S530118
121,CA_A6-Weekday-SDon-077500_S53_308,S53,203456.0,7066.0,2016-01-04 18:05:00,20160104.0,2160.88096774,8.0,432.022755565,426.4356,S530118
122,CA_A6-Weekday-SDon-077500_S53_308,S53,203456.0,7066.0,2016-01-04 18:10:00,20160104.0,3199.99014925,3.0,102.62858604,126.4356,S530118
123,CA_A6-Weekday-SDon-077500_S53_308,S53,203505.0,7066.0,2016-01-04 18:00:00,20160104.0,985.025,28.0,1605.01608271,1605.006649,S530118
124,CA_A6-Weekday-SDon-077500_S53_308,S53,203505.0,7066.0,2016-01-04 18:05:00,20160104.0,2160.88096774,23.0,1277.09984008,1305.006649,S530118
125,CA_A6-Weekday-SDon-077500_S53_308,S53,203505.0,7066.0,2016-01-04 18:10:00,20160104.0,3199.99014925,18.0,947.705670552,1005.006649,S530118
126,CA_A6-Weekday-SDon-077500_S53_308,S53,203505.0,7066.0,2016-01-04 18:15:00,20160104.0,4647.37,12.0,641.027648336,705.006649,S530118
127,CA_A6-Weekday-SDon-078000_S93_303,S93,201964.0,7085.0,2016-01-04 18:00:00,20160104.0,180.218104956,7.0,280.299417845,438.726847,S930077
128,CA_A6-Weekday-SDon-078000_S93_303,S93,201964.0,7085.0,2016-01-04 18:05:00,20160104.0,1913.77467742,4.0,112.205462764,138.726847,S930077
129,CA_A6-Weekday-SDon-078000_S93_303,S93,203343.0,7085.0,2016-01-04 18:00:00,20160104.0,180.218104956,16.0,1355.61915976,1615.434201,S930077
130,CA_A6-Weekday-SDon-078000_S93_303,S93,203343.0,7085.0,2016-01-04 18:05:00,20160104.0,1913.77467742,13.0,1187.52520468,1315.434201,S930077
131,CA_A6-Weekday-SDon-078000_S93_303,S93,203343.0,7085.0,2016-01-04 18:10:00,20160104.0,3467.48854839,6.0,896.334199049,1015.434201,S930077
132,CA_A6-Weekday-SDon-078000_S93_303,S93,203343.0,7085.0,2016-01-04 18:15:00,20160104.0,4366.67645161,4.0,730.912211365,715.434201,S930077
133,CA_A6-Weekday-SDon-078000_S93_303,S93,203343.0,7085.0,2016-01-04 18:20:00,20160104.0,6099.71010526,3.0,413.932775068,415.434201,S930077
134,CA_A6-Weekday-SDon-078000_S93_303,S93,203343.0,7085.0,2016-01-04 18:25:00,20160104.0,8007.88507937,1.0,72.1991310375,115.434201,S930077
135,CA_A6-Weekday-SDon-078000_S93_303,S93,203723.0,7085.0,2016-01-04 18:00:00,20160104.0,180.218104956,14.0,1153.09681494,1404.188915,S930077
136,CA_A6-Weekday-SDon-078000_S93_303,S93,203723.0,7085.0,2016-01-04 18:05:00,20160104.0,1913.77467742,11.0,985.002859862,1104.188915,S930077
137,CA_A6-Weekday-SDon-078000_S93_303,S93,203723.0,7085.0,2016-01-04 18:10:00,20160104.0,3467.48854839,4.0,693.811854234,804.188915,S930077
138,CA_A6-Weekday-SDon-078000_S93_303,S93,203723.0,7085.0,2016-01-04 18:15:00,20160104.0,4366.67645161,2.0,528.389866549,504.188915,S930077
139,CA_A6-Weekday-SDon-078000_S93_303,S93,203723.0,7085.0,2016-01-04 18:20:00,20160104.0,6099.71010526,1.0,211.410430252,204.188915,S930077
140,CA_A6-Weekday-SDon-078000_S93_303,S93,307501.0,7085.0,2016-01-04 18:00:00,20160104.0,180.218104956,19.0,2016.45458969,2206.526963,S930077
141,CA_A6-Weekday-SDon-078000_S93_303,S93,307501.0,7085.0,2016-01-04 18:05:00,20160104.0,1913.77467742,16.0,1848.36063461,1906.526963,S930077
142,CA_A6-Weekday-SDon-078000_S93_303,S93,307501.0,7085.0,2016-01-04 18:10:00,20160104.0,3467.48854839,9.0,1557.16962898,1606.526963,S930077
143,CA_A6-Weekday-SDon-078000_S93_303,S93,307501.0,7085.0,2016-01-04 18:15:00,20160104.0,4366.67645161,7.0,1391.74764129,1306.526963,S930077
144,CA_A6-Weekday-SDon-078000_S93_303,S93,307501.0,7085.0,2016-01-04 18:20:00,20160104.0,6099.71010526,6.0,1074.768205,1006.526963,S930077
145,CA_A6-Weekday-SDon-078000_S93_303,S93,307501.0,7085.0,2016-01-04 18:25:00,20160104.0,8007.88507937,4.0,733.034560966,706.526963,S930077
146,CA_A6-Weekday-SDon-078000_S93_303,S93,307501.0,7085.0,2016-01-04 18:30:00,20160104.0,10567.4087368,2.0,451.83738563,406.526963,S930077
147,CA_A6-Weekday-SDon-078500_MISC_417,S53,203456.0,8213.0,2016-01-04 18:15:00,20160104.0,1784.38354839,10.0,554.274641136,515.42311,S530118
148,CA_A6-Weekday-SDon-078500_MISC_417,S53,203456.0,8213.0,2016-01-04 18:20:00,20160104.0,2730.43416667,5.0,228.419880384,215.42311,S530118
149,CA_A6-Weekday-SDon-078500_MISC_417,S53,203505.0,8213.0,2016-01-04 18:15:00,20160104.0,1784.38354839,25.0,1399.35172565,1446.487096,S530118
150,CA_A6-Weekday-SDon-078500_MISC_417,S53,203505.0,8213.0,2016-01-04 18:20:00,20160104.0,2730.43416667,20.0,1073.4969649,1146.487096,S530118
151,CA_A6-Weekday-SDon-078500_MISC_417,S53,203505.0,8213.0,2016-01-04 18:25:00,20160104.0,4259.53238095,13.0,739.424439703,846.487096,S530118
152,CA_A6-Weekday-SDon-036000_X21_302,X21,403239.0,2583.0,2016-01-05 12:00:00,20160105.0,48064.009,1.0,28.7099360004,220.240077,X210011
153,CA_A6-Weekday-SDon-036000_X21_302,X21,403245.0,2583.0,2016-01-05 12:00:00,20160105.0,48064.009,4.0,553.990198335,666.155599,X210011
154,CA_A6-Weekday-SDon-036000_X21_302,X21,403245.0,2583.0,2016-01-05 12:05:00,20160105.0,48777.396129,2.0,422.794637272,366.155599,X210011
155,CA_A6-Weekday-SDon-036000_X21_302,X21,403245.0,2583.0,2016-01-05 12:10:00,20160105.0,49732.7869565,1.0,67.2177636549,66.155599,X210011
156,CA_A6-Weekday-SDon-037500_X21_303,X21,403239.0,2653.0,2016-01-05 12:00:00,20160105.0,40495.5532258,1.0,479.845469611,2036.575301,X210011
157,CA_A6-Weekday-SDon-037500_X21_303,X21,403239.0,2653.0,2016-01-05 12:05:00,20160105.0,44253.02,1.0,255.872861621,1736.575301,X210011
