,trip_id,route_id,stop_id,vehicle_id,time_of_day,date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time
4,CA_A6-Weekday-SDon-037500_MISC_433,X11,450402,2667.0,12:10:00,20160127.0,27811.49125,3.0,1577.25824134,420.590939081
5,CA_A6-Weekday-SDon-041000_X1011_309,X11,450402,2648.0,12:10:00,20160127.0,4214.61142857,14.0,3275.29013713,3687.14125225
6,MA_A6-Weekday-SDon-039500_X1011_601,X11,450402,2897.0,12:10:00,20160127.0,10555.0869474,4.0,1834.93581356,2022.84189652
7,MA_A6-Weekday-SDon-042500_X1011_602,X11,450402,2631.0,12:15:00,20160127.0,1216.28232558,21.0,3809.60557853,4606.03714838
8,CA_A6-Weekday-SDon-037500_MISC_433,X11,450402,2667.0,12:15:00,20160127.0,29213.2933846,1.0,8.14590774934,120.590939081
9,CA_A6-Weekday-SDon-041000_X1011_309,X11,450402,2648.0,12:15:00,20160127.0,5785.6659375,10.0,3021.67116585,3387.14125225
10,MA_A6-Weekday-SDon-039500_X1011_601,X11,450402,2897.0,12:15:00,20160127.0,12288.1783871,4.0,1955.54425814,1722.84189652
11,MA_A6-Weekday-SDon-042500_X1011_602,X11,450402,2631.0,12:20:00,20160127.0,3243.37625,16.0,3455.51806618,4306.03714838
12,CA_A6-Weekday-SDon-041000_X1011_309,X11,450402,2648.0,12:20:00,20160127.0,7162.983125,6.0,2562.57741571,3087.14125225
13,MA_A6-Weekday-SDon-039500_X1011_601,X11,450402,2897.0,12:20:00,20160127.0,13996.0895833,4.0,2074.40037164,1422.84189652
14,CA_A6-Weekday-SDon-045500_X1011_318,X11,450402,2581.0,12:20:00,20160127.0,60.796933423,24.0,4040.98519966,5862.9701627
15,CA_A6-Weekday-SDon-045500_X1011_318,X11,450402,2581.0,12:25:00,20160127.0,268.059206456,24.0,4130.58010365,5562.9701627
16,CA_A6-Weekday-SDon-043500_X1011_315,X11,450402,2645.0,12:25:00,20160127.0,1047.35903226,21.0,3781.86466663,4278.99205063
17,MA_A6-Weekday-SDon-044500_X1011_603,X11,450402,2890.0,12:25:00,20160127.0,11.94,24.0,4019.86542618,4826.08720041
18,MA_A6-Weekday-SDon-042500_X1011_602,X11,450402,2631.0,12:25:00,20160127.0,4480.66875,13.0,3171.75129695,4006.03714838
