,stop_id,route_id,shape_id,direction_id,dist_along_route
521,202989,S51,S510083,0,6609.94
522,200135,S51,S510083,0,7212.31
523,200136,S51,S510083,0,7401.5
524,200137,S51,S510083,0,7691.46
525,203692,S51,S510083,0,7830.13
526,203690,S51,S510083,0,8036.96
527,200139,S51,S510083,0,8178.65
528,200140,S51,S510083,0,8493.64
529,202801,S51,S510083,0,8734.82
530,200142,S51,S510083,0,9062.71
531,200144,S51,S510083,0,9449.14
532,200145,S51,S510083,0,9635.88
533,200146,S51,S510083,0,10033.93
534,200147,S51,S510083,0,10177.16
535,200148,S51,S510083,0,10342.54
536,200149,S51,S510083,0,10489.88
537,203379,S51,S510083,0,10762.62
538,200151,S51,S510083,0,10906.57
539,200152,S51,S510083,0,11201.61
540,200153,S51,S510083,0,11403.95
541,200154,S51,S510083,0,11628.47
542,203650,S51,S510083,0,11908.81
543,805015,S51,S510083,0,12267.98
544,202579,S52,S520107,0,0.02
545,200176,S52,S520107,0,311.07
546,200779,S52,S520107,0,614.7
547,200780,S52,S520107,0,902.9
548,200781,S52,S520107,0,1042.67
549,200782,S52,S520107,0,1264.6
550,200783,S52,S520107,0,1446.87
551,200784,S52,S520107,0,1616.29
552,202613,S52,S520107,0,1770.43
553,200785,S52,S520107,0,2045.96
554,200786,S52,S520107,0,2271.25
555,200787,S52,S520107,0,2464.76
556,203051,S52,S520107,0,2718.94
557,202658,S52,S520107,0,2941.18
558,200791,S52,S520107,0,3153.92
559,201269,S52,S520107,0,3409.38
560,200297,S52,S520107,0,3678.65
561,201271,S52,S520107,0,3777.83
562,201272,S52,S520107,0,4095.72
563,201273,S52,S520107,0,4304.7
564,201081,S52,S520107,0,4577.47
565,201082,S52,S520107,0,4809.84
566,201083,S52,S520107,0,5115.81
567,201084,S52,S520107,0,5422.36
568,201085,S52,S520107,0,5738.43
569,201086,S52,S520107,0,5919.28
570,201087,S52,S520107,0,6131.41
571,201088,S52,S520107,0,6549.74
572,201282,S52,S520107,0,6744.11
573,201283,S52,S520107,0,7067.74
574,201284,S52,S520107,0,7312.46
575,201285,S52,S520107,0,7659.17
576,201286,S52,S520107,0,7940.37
577,202626,S52,S520107,0,8072.49
578,201288,S52,S520107,0,8403.07
579,201289,S52,S520107,0,8891.31
580,200204,S52,S520107,0,9098.59
581,201291,S52,S520107,0,9300.96
582,200206,S52,S520107,0,9448.21
583,200207,S52,S520107,0,9600.59
584,201294,S52,S520107,0,9819.42
585,203737,S52,S520107,0,10030.56
586,200210,S52,S520107,0,10271.75
587,200211,S52,S520107,0,10575.77
588,202733,S52,S520107,0,10705.23
589,203433,S52,S520107,0,10941.74
