,actual,baseline,lbfgs,sgd,adam
1899,259.59627,294.440610644,314.736494388,347.934199292,334.465111784
1900,202.445317,109.276710859,127.100086379,77.5020643218,113.991890504
1901,1544.086329,1730.16582986,1777.947682,1775.49340905,1850.72240136
1902,107.0,61.0821623324,73.9790644262,51.6372496482,66.0957788665
1903,331.062577,240.582844489,296.176947681,331.341134663,300.584225177
1904,516.662294,505.647337362,515.679758299,496.921772368,530.936909001
1905,263.864321,264.864858484,287.731034064,290.496383529,295.158666642
1906,2565.509318,2652.42517374,2731.85424785,2737.88277738,2843.37968718
1907,620.018726,580.667497662,663.10569407,668.929935556,662.319654468
1908,1143.516304,685.099543783,778.937811537,800.823346635,784.087665858
1909,782.891999,774.116861589,858.650056979,899.429283839,878.840074666
1910,210.720213,200.121982923,354.079987321,348.949588373,351.76946262
1911,169.073321,122.742382414,117.070571468,96.928964811,118.91859896
1912,783.914592,699.458406775,869.039125604,976.39095532,878.639795924
1913,802.923939,473.134751653,572.258536379,612.447610409,574.781595223
1914,2810.882349,2448.9198699,2932.00197414,3216.58199974,2982.99687449
1915,763.115374,864.185532885,917.896773161,939.209470493,949.307050764
1916,569.936354,421.763413051,475.158516015,474.477175508,476.009943634
1917,1165.324005,976.571728604,1123.52127559,1238.87702393,1157.4448061
1918,334.51843,317.267279576,340.284057904,349.860782079,352.330420403
1919,367.889697,359.958271636,459.377011225,522.145184943,466.023144043
1920,1289.750774,938.267541842,1123.501275,1225.45204176,1141.23893732
1921,1413.794576,1281.90458654,1470.56478057,1554.86383605,1488.46690886
1922,555.035925,312.288228399,298.107618276,247.488190315,301.620812935
1923,1691.516234,1583.83110025,1720.00512426,1757.57673363,1760.62495229
1924,490.776062,691.328526662,745.376452362,759.519151203,765.329153751
1925,1296.0,767.798063665,1290.51433828,1315.00596694,1293.10977514
1926,576.906784,474.058743797,558.828455965,583.551552425,558.123821967
1927,621.469579,696.900644915,673.597786313,571.428364685,675.34903207
1928,955.129754,874.458884346,911.115007132,921.768529221,947.728004572
1929,1436.781746,1445.29675297,1585.20132257,1657.80648184,1626.254325
1930,1620.805004,1423.79030869,1656.11073711,1799.02615766,1689.37993534
1931,498.142107,381.020718045,446.49676053,482.126257596,454.506910573
1932,2108.287805,2057.06002991,2236.28485383,2315.51363588,2297.36586735
1933,1068.653247,678.975814356,818.242939286,906.666307014,833.764302924
1934,1456.324851,520.260400458,1297.01135175,1098.8369664,1364.537
1935,897.605681,997.154647832,1026.99951548,969.828821495,1042.29491035
1936,2782.971168,2558.67029531,2879.88514637,3062.29025635,2942.47779483
1937,117.491073,81.8498313512,124.531559177,126.979363543,117.471981844
1938,111.49801,110.873492368,136.503979067,125.495604879,129.057905262
1939,198.392353,214.743819868,253.983898103,274.569799867,258.713086586
1940,1156.637469,1073.92208359,1237.37504616,1333.71464151,1260.49231429
1941,1104.641164,1086.02303196,1205.7041548,1267.68782771,1234.53165488
1942,147.162036,129.166704832,142.991781336,141.816155155,144.638035924
1943,3076.330724,2553.61037513,2661.84980384,2680.69399142,2761.49194694
1944,1258.0,1451.27726834,1707.33100873,1862.21014625,1740.5115005
1945,308.874321,270.462436775,309.101949878,304.479441848,306.720357282
1946,1210.944479,1056.73626221,1178.13901835,1240.24527854,1205.02073743
1947,466.543043,426.925661146,548.109714763,604.838332823,547.446855636
1948,1282.0,1203.80857373,1325.76469833,1376.82374639,1355.86732574
1949,572.0,496.95482183,627.642193806,692.613315806,627.801278575
1950,413.389987,312.22979204,363.415369775,391.72820336,370.393919202
1951,39.325984,78.2677264198,92.4012318008,47.0006588214,73.5933879042
1952,426.255699,269.749574591,470.473366802,464.447010548,464.669398154
1953,1705.168997,1697.7202252,1858.3455845,1897.97004083,1895.55604039
1954,1850.027504,956.716381851,1416.20019257,1539.66941179,1411.98631298
1955,992.671911,890.898044094,929.981920516,940.651809218,966.534783774
1956,3843.962542,1742.95052808,2134.31940539,2347.66191867,2154.88102498
1957,1109.367228,948.447125304,1021.9115791,1052.74063198,1053.37472914
1958,89.266636,106.17084031,105.742909855,70.0938134331,97.8700631999
1959,299.551403,285.182853455,318.739577565,345.905297018,329.613789406
1960,184.940544,241.10791109,272.969516655,284.983868345,277.171182942
1961,1140.007581,997.994116443,1160.08402549,1132.2905777,1140.23768282
1962,426.943423,440.168595695,530.394202702,563.413077831,531.480204246
1963,825.24349,856.41888109,787.624056962,757.809940482,858.253471516
1964,3053.891255,2661.62132335,3046.78141221,3282.42783053,3105.05301412
1965,665.0,587.56027251,682.188672652,738.285697994,695.745725995
1966,1921.205528,1695.57454513,2017.06874329,2205.61423775,2053.13465703
1967,550.712968,456.779571619,499.670201987,515.953258165,512.810009646
1968,2076.564385,1939.07872416,2204.92233453,2361.94585599,2249.5809551
1969,163.488398,185.068233215,213.194042194,248.884016741,225.452277991
1970,890.74548,1067.82566828,1122.21910205,1123.62935552,1157.80438073
1971,5222.573477,2209.98641567,5560.04549332,4709.10119637,5879.36512093
1972,1549.70579,483.000185367,1457.23565979,1096.35839704,1455.53612854
1973,253.797755,238.231513148,282.301175755,286.244231716,278.751611152
1974,692.386763,519.561092206,621.2570021,661.957472395,624.36132823
1975,897.679736,275.953385301,322.236667234,304.454131818,313.55586221
1976,448.0,407.683273511,449.576401633,467.628751959,460.761899601
1977,567.467531,514.000906943,555.477361081,565.30267014,569.747126282
1978,1548.721561,1272.1761889,1356.6477963,1371.8518441,1395.35539413
1979,525.125443,537.370297657,640.823870936,682.185645222,644.130780136
1980,632.489989,588.222558696,621.88992198,600.708519077,633.306518295
1981,232.849489,212.630926253,251.799232787,251.44947455,247.520317703
1982,769.76225,774.880518585,826.51250806,880.870665471,864.523683104
1983,2092.94233,2209.92141678,2379.10975486,2443.88697652,2449.28273434
1984,790.431274,732.457561031,818.45015974,835.869129102,827.386223104
1985,522.485638,441.209780957,512.594398578,515.081393533,508.298620328
1986,962.168914,825.236846628,933.345490841,956.063714384,940.116560858
1987,691.455975,765.695154186,790.865743449,792.779501696,823.468732889
1988,1968.365241,1890.30127589,2084.5206595,2151.73985934,2126.62146315
1989,1231.057816,825.546051964,1063.92546597,1199.38510489,1074.44713649
1990,554.512958,513.005439651,607.451288632,641.04323134,609.091339266
1991,356.707013,473.738899748,443.200098728,408.044406036,468.225013639
1992,1915.889917,1709.40625447,1748.56571955,1718.65347387,1812.42548863
1993,137.281332,164.742043245,215.12437643,234.765624002,213.265206837
1994,255.981857,298.27619405,304.910937997,277.661601517,306.611389978
1995,314.0,374.658687387,397.664659046,362.46032375,393.770405901
1996,299.293303,240.662798952,289.814280217,316.881201987,295.205602857
1997,3204.084019,2370.34131749,2508.10955076,2556.41408523,2595.25507464
1998,542.811668,370.532016695,394.069378846,412.472206548,410.705956006
1999,1454.726867,509.151569432,1043.32452372,966.549059166,1069.5857957
2000,1267.410387,1209.81315243,1541.91861857,1758.19547925,1567.90877031
2001,278.92733,511.539057068,457.817612022,388.760617179,480.730286752
2002,313.808478,304.553660506,328.162110193,331.676828359,336.626126027
2003,1102.485329,1239.67821058,1267.19402639,1219.31189829,1300.84192715
2004,1370.70476,1686.7546601,1797.48304262,1864.53407559,1864.27198416
2005,878.770017,851.329726883,966.929598507,1007.54431654,977.899306289
2006,2505.733814,1923.51194006,2535.60500549,2899.1182149,2574.88046833
2007,1914.225642,2116.64843549,2350.41431179,2485.09035261,2408.96023504
2008,1508.380462,1453.23171114,1640.47562978,1748.14734785,1676.08280092
2009,1257.083687,819.731544873,1322.80217992,1373.97692803,1322.93503504
2010,1457.150631,1300.74504495,1501.76618913,1622.26146987,1530.484457
2011,1992.004252,1665.44788863,1765.26957539,1815.96813347,1830.99946409
2012,620.889798,704.94345781,731.739706009,664.33862184,725.948401672
2013,593.557622,446.083495082,490.432736522,509.324374723,502.942582181
2014,593.608978,335.981909665,332.933921158,283.534846188,334.408252297
2015,351.594737,287.224626463,350.932363365,389.318617952,356.551412861
2016,836.876628,839.914766946,941.772322461,991.615459621,961.658788965
2017,1447.431778,836.520095848,1140.15118235,1286.56306331,1139.36284753
2018,420.743617,372.762667517,439.969278324,475.321058244,447.308698937
2019,1483.685777,1152.24563024,1321.56105953,1385.76595623,1334.38574891
2020,340.346405,348.987582643,420.056843685,459.91766563,427.601277486
2021,267.467531,252.596865674,268.479215923,262.030158969,274.29632636
2022,318.251787,325.325426083,355.718016104,341.119150711,356.817265801
2023,680.227692,500.748563152,624.035822223,661.089626172,619.924880961
2024,96.0,79.6926792037,110.058866004,93.3624695415,97.5596756971
2025,2132.917129,1882.33112865,2108.51800481,2225.05091599,2153.38792647
2026,392.624469,370.556926997,383.155826075,389.542176394,401.28859557
2027,660.052946,562.919060752,632.605692565,657.929531432,643.408718913
2028,1042.612763,847.929649493,965.76103439,1043.90134841,988.768723921
2029,1445.637561,1122.55156792,1183.10441879,1200.37835641,1225.48617187
2030,969.047377,851.213680931,1111.30987792,1272.76864897,1130.15410761
2031,1330.084404,1018.3070725,1219.53978171,1318.62756687,1232.8986289
2032,1117.066612,1011.65128302,1067.99452345,1075.700151,1103.38613531
2033,1537.976078,1414.61966048,1535.25094053,1589.44821564,1578.80267039
2034,524.617954,486.738816179,620.928248059,700.96000714,627.769250577
2035,269.101239,208.717655956,281.71373114,305.141892645,277.390844452
2036,685.977362,612.436041205,675.62944593,704.271271866,692.044004721
2037,603.74052,668.12695267,729.514005203,732.196953876,741.534340127
2038,2015.380035,1925.00338146,1988.90139877,1867.16312302,2008.28140341
2039,1216.574583,980.229899499,1117.06122536,1198.18660232,1139.92979835
2040,623.537713,576.737656684,664.186212016,698.85390538,670.307400562
2041,927.649941,782.279255949,1009.92570937,1182.90711283,1038.90664899
2042,985.0,948.676391748,1123.08402308,1224.35625886,1143.52424013
2043,300.857873,171.286964737,210.330853242,200.196142051,201.073510074
2044,1691.489499,677.459750664,1211.33759296,1191.88318239,1208.02047781
2045,2208.083113,1914.25110446,2346.57308173,2588.93302825,2369.74734734
2046,556.065196,452.027604042,479.94520602,462.102460302,487.483830228
2047,591.996068,530.239684631,551.124184685,558.608233119,574.785616933
2048,132.021919,102.271640333,147.255851027,156.381989469,142.168264036
2049,2138.98941,2252.18449456,2305.29739804,2204.45605077,2356.07839768
2050,289.058726,352.926751111,389.152683119,419.984585556,403.530284582
2051,227.760717,229.152156811,275.27655393,278.250158832,270.190407602
2052,159.752209,180.71522552,205.000444187,188.6559349,200.330984093
2053,1488.0,1878.38528793,1811.62154148,1558.74478259,1828.67910323
2054,2090.917378,2021.39877085,2178.89094491,2246.20366325,2244.16976083
2055,1070.591517,987.31677706,1177.34645053,1283.92062383,1196.9145342
2056,251.99301,292.774526649,325.915374378,344.379815209,335.075529068
2057,136.457768,125.320272951,167.466891709,175.624774714,162.226581189
2058,517.654323,369.873406585,399.354043369,375.327609816,400.112025843
2059,1189.959403,1132.66054562,1163.8072292,1201.16268503,1225.14874952
2060,1072.894409,931.346979724,968.419374026,958.826339055,999.971746957
2061,493.689573,477.334776071,508.310243429,521.856619514,526.900636985
2062,876.78225,734.941089287,792.911398862,790.25659877,808.413215447
2063,2657.0,2450.80521506,2523.16427497,2561.70258238,2638.09314247
2064,2051.278329,1650.49247079,2329.68581274,2589.32016098,2320.6690573
2065,1727.289779,1056.18009657,1181.16230492,1211.52986116,1194.88811083
2066,1062.994114,1267.70652807,1413.02740644,1454.22931925,1432.69441301
2067,233.898465,168.380915982,204.35941808,200.640918488,199.635584768
2068,394.276862,418.372434696,428.792369429,386.540247384,431.564662341
