,actual,baseline,identity,logistic,tanh,relu
2204,984.742879,838.755692244,846.738162762,922.030105353,838.760678374,850.442001327
2205,389.610819,369.208575221,355.336114943,383.577650768,349.659915773,369.622754682
2206,167.511902,104.679958867,97.163485113,104.352539367,95.7266772292,103.73851574
2207,811.387877,882.320102464,1102.3851246,1182.52331094,1096.38517539,991.504088077
2208,1890.613675,2017.51474608,2024.86053644,2219.72301156,2010.60617647,2032.11242338
2209,2983.868361,1734.79466239,2129.8597641,2281.52081221,2115.53574962,1934.40210552
2210,2720.688838,1428.34231267,2785.06669512,2892.51626726,2722.97806097,3830.47899773
2211,681.047767,605.696394732,631.265635544,684.311413606,625.476753425,623.607710528
2212,1944.545758,1878.97576822,2126.6712319,2297.11718886,2112.79642525,2005.96276802
2213,801.205866,641.808246138,797.710729019,848.298312963,790.724120589,722.710489769
2214,473.087136,431.450893725,442.004776549,477.768721692,437.316826676,439.098432781
2215,932.917129,759.537185251,803.980747114,874.495715137,798.808757681,784.991305297
2216,558.603349,476.262695729,547.322956305,586.408489577,542.569384494,514.481482962
2217,3638.348987,1809.74488886,3381.20263667,3521.357713,3315.21914161,4370.73176498
2218,94.0,106.797376817,91.8135466092,100.08328719,90.3789835191,101.972691344
2219,1477.801767,1184.78445729,1564.13829413,1664.82294949,1552.48552022,1375.38735325
2220,1862.377438,1773.65317348,2118.37185189,2282.71327907,2107.18756444,1944.43144766
2221,901.905052,1127.01090965,1280.88290568,1385.97943739,1274.02723317,1203.83638928
2222,742.804259,629.129417861,886.910594423,935.728452438,878.355797441,762.72437172
2223,1480.233381,1233.27053277,1731.18976718,1810.72334466,1710.17974272,1491.78158403
2224,1483.868361,897.734829221,1207.5390007,1277.29409822,1196.52037394,1055.6832066
2225,707.138684,730.598421754,840.816826362,906.922072436,835.982404308,786.241633056
2226,2531.269377,2022.4550103,2136.73093652,2322.74412528,2120.8439485,2089.36448241
2227,116.84435,86.4877654362,117.352757136,123.498021679,116.960283127,97.0730919391
2228,645.972412,461.885243654,652.361705081,685.313860906,645.269861758,559.507681121
2229,926.431105,886.954252669,721.273612404,810.268589037,710.591096977,815.878106423
2230,668.920901,550.5821975,589.597884826,636.264965249,584.099291132,574.678347191
2231,3446.455633,2433.14483329,3084.01295386,3300.20045619,3064.30567875,2758.76827812
2232,317.276507,218.569840852,323.767937565,336.848490742,319.34765767,284.550799981
2233,425.319718,382.964896905,493.540267868,522.222084154,488.808271266,440.412234037
2234,2768.415001,1860.77545935,2594.47735947,2752.16294925,2573.4477391,2228.64540326
