,trip_id,vehicle_id,route_id,stop_id,time_of_day,date,dist_along_route,stop_num_from_call
3,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,805038.0,12:20:00,20160126,8998.94608696,10.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,805038.0,12:25:00,20160126,8655.34086957,14.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,805038.0,12:25:00,20160126,6696.61914894,14.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,805038.0,12:25:00,20160126,3189.63444444,25.0
3,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,805038.0,12:25:00,20160126,8958.16978947,10.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,805038.0,12:30:00,20160126,7760.73625,13.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,805038.0,12:30:00,20160126,7021.08489362,14.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,805038.0,12:30:00,20160126,3920.35978723,22.0
3,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,805038.0,12:30:00,20160126,9425.09446809,8.0
0,CA_A6-Weekday-SDon-037500_MISC_433,2667.0,X11,450402.0,12:00:00,20160127,20799.4230769,3.0
1,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,450402.0,12:00:00,20160127,7383.53977662,3.0
0,CA_A6-Weekday-SDon-037500_MISC_433,2667.0,X11,450402.0,12:05:00,20160127,24318.5269231,3.0
1,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,450402.0,12:05:00,20160127,8793.4839315,3.0
0,CA_A6-Weekday-SDon-037500_MISC_433,2667.0,X11,450402.0,12:10:00,20160127,27811.49125,3.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2648.0,X11,450402.0,12:10:00,20160127,4214.61142857,14.0
2,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,450402.0,12:10:00,20160127,10555.0869474,3.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2631.0,X11,450402.0,12:15:00,20160127,1216.28232558,19.0
1,CA_A6-Weekday-SDon-037500_MISC_433,2667.0,X11,450402.0,12:15:00,20160127,29213.2933846,1.0
2,CA_A6-Weekday-SDon-041000_X1011_309,2648.0,X11,450402.0,12:15:00,20160127,5785.6659375,9.0
3,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,450402.0,12:15:00,20160127,12288.1783871,3.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2631.0,X11,450402.0,12:20:00,20160127,3243.37625,16.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2648.0,X11,450402.0,12:20:00,20160127,7162.983125,6.0
2,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,450402.0,12:20:00,20160127,13996.0895833,3.0
3,CA_A6-Weekday-SDon-045500_X1011_318,2581.0,X11,450402.0,12:20:00,20160127,60.796933423,22.0
0,CA_A6-Weekday-SDon-045500_X1011_318,2581.0,X11,450402.0,12:25:00,20160127,268.059206456,22.0
1,CA_A6-Weekday-SDon-043500_X1011_315,2645.0,X11,450402.0,12:25:00,20160127,1047.35903226,21.0
2,MA_A6-Weekday-SDon-044500_X1011_603,2890.0,X11,450402.0,12:25:00,20160127,11.94,24.0
3,MA_A6-Weekday-SDon-042500_X1011_602,2631.0,X11,450402.0,12:25:00,20160127,4480.66875,13.0
4,CA_A6-Weekday-SDon-041000_X1011_309,2648.0,X11,450402.0,12:25:00,20160127,8375.0271875,3.0
5,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,450402.0,12:25:00,20160127,19228.2406061,3.0
0,CA_A6-Weekday-SDon-045500_X1011_318,2581.0,X11,450402.0,12:30:00,20160127,475.321479489,22.0
1,CA_A6-Weekday-SDon-043500_X1011_315,2645.0,X11,450402.0,12:30:00,20160127,3039.38802083,17.0
2,MA_A6-Weekday-SDon-044500_X1011_603,2890.0,X11,450402.0,12:30:00,20160127,1300.84446809,21.0
3,MA_A6-Weekday-SDon-042500_X1011_602,2631.0,X11,450402.0,12:30:00,20160127,6190.37354839,8.0
4,CA_A6-Weekday-SDon-041000_X1011_309,2648.0,X11,450402.0,12:30:00,20160127,10291.4931915,3.0
5,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,450402.0,12:30:00,20160127,22990.9341935,3.0
0,CA_A6-Weekday-SDon-037500_MISC_433,2667.0,X11,400070.0,12:00:00,20160127,20799.4230769,2.0
1,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,400070.0,12:00:00,20160127,7383.53977662,2.0
0,CA_A6-Weekday-SDon-037500_MISC_433,2667.0,X11,400070.0,12:05:00,20160127,24318.5269231,2.0
1,MA_A6-Weekday-SDon-039500_X1011_601,2897.0,X11,400070.0,12:05:00,20160127,8793.4839315,2.0
0,CA_A6-Weekday-SDon-037500_MISC_433,2667.0,X11,400070.0,12:10:00,20160127,27811.49125,2.0
